img_url,s1,s2,s3,s4,s5
https://vision.cs.uiuc.edu/pascal-sentences/pottedplant/2008_000196.jpg, A calico cat seated on the doorstep surrounded by bikes and junk., A cat is sitting in between two bikes., Calico cat sitting on step in front of a door., Multi colored cat sitting on a step between two bicycles., The cat is sitting between two bicycles in front of a door.
https://vision.cs.uiuc.edu/pascal-sentences/pottedplant/2008_000275.jpg, A line outside of a bookstore on a street., A woman with a baby stroller and others at a bookstore., Group of people walking into a book store., People stand outside a bookstore., Several people gather outside of a schoolbook store.
https://vision.cs.uiuc.edu/pascal-sentences/pottedplant/2008_000491.jpg, a close up of a small cactus in a pot , A close-up of three terra cotta pots with cacti growing in them., A line of potted cactus plants., A row of three potted cactus., The trio of cactus take in some sun.
https://vision.cs.uiuc.edu/pascal-sentences/pottedplant/2008_000564.jpg, a girl and three tents are outside a house with a flag , A girl walking across a lawn with three tents and a flagpole.," A yard with three tents, a young girl and a flower planter.", A young girl stands in front of three tents in a yard., Several tents set up on grass in backyard.
https://vision.cs.uiuc.edu/pascal-sentences/pottedplant/2008_000960.jpg, Two blue macaws sit on a perch in a lush green garden., Two brightly colored parrots sitting on a fence., Two colorful birds sitting on a tree branch., two macaws sitting on a branch , Two parrots 
https://vision.cs.uiuc.edu/pascal-sentences/pottedplant/2008_001078.jpg, A black and white cat gets into a basket of yarn., A black and white cat is pawing at a pile of yarn on the floor., A black and white cat playing with a blanket., A black and white cat playing with a wool basket., A black cat with white paws in a cluttered room.
https://vision.cs.uiuc.edu/pascal-sentences/pottedplant/2008_001460.jpg, An indoor plant in a yellow pot by a window., A potted plant getting light from a window., A potted plant in sunlight from a window., A yellow plant pot with a green and white leafed plant., There is a green plant in a white pot sitting on a brown table.
https://vision.cs.uiuc.edu/pascal-sentences/pottedplant/2008_001541.jpg, A small street in an urban area., Long alleyway with several cars parked on the side., Two cars are parked along a row of white buildings., Two red cars on a deserted street.," Two red cars, one of them a Mini Cooper, park on a quiet side street."
https://vision.cs.uiuc.edu/pascal-sentences/pottedplant/2008_001784.jpg, A bride and groom along with other family members in a church., A bride and groom pose with their family., A wedding of a man and woman with their parents and siblings in a church., Wedding photo of bride and groom with several other people., Wedding photo on the alter.
https://vision.cs.uiuc.edu/pascal-sentences/pottedplant/2008_001862.jpg, A black dog approaches the potted plants in the foreground., A large dog standing behind a series of empty plant pots., A table with bowls and plants., Dog starring at potted plants , The curious dog looks to do some damage to the pots.
https://vision.cs.uiuc.edu/pascal-sentences/pottedplant/2008_001966.jpg, A bird perched on a flowerpot., A brown bird sits upon a clay pot amongst some flowers., A close-up of a bird perched on a terra cotta flower pot., Bird perched on a flowerpot beside a stucco wall., The bird protects its new nest in the pot.
https://vision.cs.uiuc.edu/pascal-sentences/pottedplant/2008_002026.jpg," A beige living room has a chair, lamp, table, and other furniture.", A chair has a throw pillow on it , A comfortable looking sitting room with a lamp turned on.," A living room with table, chair and sofa alongside a large palm.", A room decorated with furniture and potted plants.
